city_index,city_country,city_name,city_lat,city_lon,population_2025_1000s,gauge_id,gauge_name,gauge_lat,gauge_lon,distance_km,rsl_low_2100,rsl_central_2100,rsl_high_2100,novlm_low_2100,novlm_central_2100,novlm_high_2100
1088,Japan,Tokyo,35.6895,139.69171,37036.204,1545,TOKYO_III,35.65,139.77,8,0.0553235294117647,0.4455,2.0688235294117643,0.24732352941176466,0.624,2.2502941176470586
808,India,Delhi,28.66667,77.21667,34665.569,420,BHAUNAGAR_I,21.8,72.3,910,,,,,,
449,China,Shanghai,31.22222,121.45806,30482.14,979,LUSI,32.13,121.62,102,,,,,,
61,Bangladesh,Dhaka,23.7104,90.40744,24652.864,1496,CHARCHANGA,22.22,91.05,178,,,,,,
685,Egypt,Al-Qahirah (Cairo),30.039173,31.239411,23074.225,253,PORT_SAID,31.25,32.3,169,,,,,,
138,Brazil,São Paulo,-23.5475,-46.63611,22990.007,726,CANANEIA,-25.02,-47.93,210,,,,,,
1147,Mexico,Ciudad de México (Mexico City),19.427318,-99.141869,22752.414,918,TUXPAN,21.0,-97.33,258,,,,,,
204,China,Beijing,39.9075,116.39723,22596.455,1403,TANGGU,39.0,117.72,152,,,,,,
882,India,Mumbai (Bombay),19.073975,72.880838,22088.953,43,MUMBAI,18.92,72.83,18,0.13788235294117646,0.4625,1.9388235294117642,0.19558823529411762,0.5145,1.991941176470588
1758,United States of America,New York-Newark,40.717042,-74.003663,19154.024,12,NEW_YORK,40.7,-74.01,2,0.39967647058823524,0.8145,2.2080294117647057,0.25582352941176467,0.6715,2.0650294117647054
1067,Japan,Kinki M.M.A. (Osaka),34.675834,135.553823,18921.632,1099,OSAKA,34.66,135.43,11,0.5421764705882353,0.9025,2.4927647058823523,0.26632352941176474,0.618,2.210441176470588
231,China,Chongqing,29.56278,106.55278,18171.198,1408,BEIHAI,21.48,109.08,935,,,,,,
1293,Pakistan,Karachi,24.9056,67.0822,18076.794,204,KARACHI,24.81,66.97,16,0.14658823529411763,0.478,1.9187058823529406,0.12273529411764705,0.44499999999999995,1.884705882352941
662,Democratic Republic of the Congo,Kinshasa,-4.32758,15.31357,17778.474,1049,TEMA,5.62,0.0,2031,,,,,,
1260,Nigeria,Lagos,6.45306,3.39583,17156.393,1049,TEMA,5.62,0.0,387,,,,,,
1600,Turkey,Istanbul,41.0138,28.9497,16236.703,317,BOURGAS,42.48,27.48,204,,,,,,
863,India,Kolkata (Calcutta),22.533455,88.356045,15845.219,48,KIDDERPORE,22.53,88.33,3,-0.3281176470588235,0.0395,1.4658235294117643,0.1731764705882353,0.505,1.932147058823529
24,Argentina,Buenos Aires,-34.605083,-58.400368,15752.275,157,BUENOS_AIRES,-34.6,-58.37,3,0.21170588235294116,0.522,1.8542941176470584,0.21070588235294113,0.5195000000000001,1.851147058823529
1348,Philippines,Manila,14.6042,120.9822,15230.559,145,MANILA,14.58,120.97,3,0.7166176470588235,1.1245,2.661882352941176,0.1966176470588235,0.6014999999999999,2.144676470588235
283,China,"Guangzhou, Guangdong",23.125457,113.257374,14878.691,1366,TSIM_BEI_TSUI,22.49,114.01,105,,,,,,
1295,Pakistan,Lahore,31.549722,74.343611,14825.828,596,KANDLA,23.02,70.22,1033,,,,,,
489,China,Tianjin,39.108842,117.18862,14704.08,1403,TANGGU,39.0,117.72,48,0.024470588235294116,0.502,2.0116470588235287,0.15473529411764703,0.504,1.9887058823529404
780,India,Bangalore,12.97194,77.59369,14395.443,205,CHENNAI,13.1,80.3,294,,,,,,
134,Brazil,Rio de Janeiro,-22.90278,-43.2075,13923.245,1032,ILHA_FISCAL,-22.9,-43.17,4,0.22358823529411762,0.5700000000000001,2.026529411764705,0.24829411764705883,0.5760000000000001,2.028647058823529
461,China,Shenzhen,22.541487,114.063427,13545.445,1366,TSIM_BEI_TSUI,22.49,114.01,8,0.07902941176470588,0.481,1.9668823529411759,0.23602941176470588,0.5860000000000001,2.065941176470588
1427,Russian Federation,Moskva (Moscow),55.754996,37.621849,12737.356,237,PRIMORSK,60.35,28.62,736,,,,,,
1742,United States of America,Los Angeles-Long Beach-Santa Ana,34.031656,-118.241716,12677.559,377,SANTA_MONICA,34.01,-118.5,24,0.1813235294117647,0.473,1.9657941176470581,0.2053235294117647,0.49550000000000005,1.9920294117647055
801,India,Chennai (Madras),13.053091,80.24875,12336.047,205,CHENNAI,13.1,80.3,8,0.10973529411764704,0.45399999999999996,1.9682941176470585,0.20988235294117646,0.54,2.057794117647058
622,Colombia,Bogotá,4.60971,-74.08175,11795.829,456,BUENAVENTURA,3.9,-77.1,344,,,,,,
955,Indonesia,Jakarta,-6.211831,106.841646,11634.078,1351,RAFFLES_LIGHT_HOUSE,1.17,103.75,891,,,,,,
1320,Peru,Lima,-12.04318,-77.02824,11517.333,1274,CALLAO_2,-12.05,-77.15,13,0.12658823529411764,0.46950000000000003,1.924617647058823,0.24388235294117644,0.567,2.024088235294117
1562,Thailand,Krung Thep (Bangkok),13.721964,100.525248,11391.704,444,FORT_PHRACHULA_CHOMKLAO,13.55,100.58,20,1.3305882352941176,1.681,3.153441176470588,0.23302941176470587,0.5680000000000001,2.040117647058823
715,France,Paris,48.85341,2.3488,11346.802,474,DIEPPE,49.93,1.08,151,,,,,,
835,India,Hyderabad,17.37528,78.47444,11337.852,414,VISAKHAPATNAM,17.68,83.28,511,,,,,,
405,China,"Nanjing, Jiangsu",32.048183,118.789812,10174.892,979,LUSI,32.13,121.62,267,,,,,,
19,Angola,Luanda,-8.83682,13.23432,10027.897,914,WALVIS_BAY,-22.95,14.5,1577,,,,,,
1390,Republic of Korea,Seoul,37.56826,126.97783,10025.77,956,INCHEON,37.45,126.59,37,0.14473529411764707,0.513,2.049411764705882,0.24288235294117644,0.5835,2.1202647058823527
